id,prediction,reference,rougeL_f,tok_f1,uni_prec,bi_prec,bert_f,question
0004073-1,"# Minicore Myopathy with External Ophthalmoplegia ## Primary Symptoms: **Muscle-related:** - Progressive muscle weakness (proximal > distal) - Muscle pain and fatigue - Exercise intolerance - Respiratory muscle involvement (in severe cases) **Eye-related:** - External ophthalmoplegia (weakness of eye muscles) - Ptosis (drooping eyelids) - Difficulty with eye movements - Diplopia (double vision) ## Additional Features: - Scoliosis (spinal curvature) - Contractures (joint stiffness) - Neck weakness - Dysphagia (difficulty swallowing) - in some cases ## Onset: - Usually childhood to early adulthood - Progressive course with variable severity ## Important Note: This is a rare congenital myopathy caused by RYR1 or SEPN1 gene mutations. Symptoms vary significantly between individuals. Diagnosis requires muscle biopsy showing characteristic ""minicore"" lesions and genetic testing. **Consult a neuromusc","What are the signs and symptoms of Minicore myopathy with external ophthalmoplegia? The Human Phenotype Ontology provides the following list of signs and symptoms for Minicore myopathy with external ophthalmoplegia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Nemaline bodies 5% Areflexia - Autosomal recessive inheritance - Axial muscle weakness - Decreased fetal movement - Difficulty running - Exercise-induced myalgia - External ophthalmoplegia - Facial palsy - Feeding difficulties in infancy - Generalized muscle weakness - High palate - Hydrops fetalis - Increased connective tissue - Increased variability in muscle fiber diameter - Ligamentous laxity - Motor delay - Muscular dystrophy - Myopathic facies - Neonatal hypotonia - Neonatal onset - Polyhydramnios - Proximal muscle weakness - Ptosis - Pulmonary hypoplasia - Recurrent respiratory infections - Respiratory insufficiency - Scoliosis - Skeletal muscle atrophy - Type 1 and type 2 muscle fiber minicore regions - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",0.13043478260869565,0.2043478260869565,0.3870967741935484,0.0975609756097561,0.8156416416168213,What are the symptoms of Minicore myopathy with external ophthalmoplegia ?
0000377-1,"# Fish-Eye Disease Fish-eye disease is a rare inherited lipid disorder caused by mutations in the **LCAT gene** (lecithin-cholesterol acyltransferase). It's also called **LCAT deficiency**. ## Key Features: **Ocular manifestations (primary):** - Corneal opacification (""fish-eye"" appearance) - Progressive vision loss - Typically appears in childhood **Systemic features:** - Abnormal lipid metabolism - Low HDL cholesterol - Anemia - Kidney disease (progressive) - Splenomegaly ## Pathophysiology: LCAT enzyme deficiency impairs cholesterol esterification, causing lipid accumulation in tissues, particularly the cornea and kidneys. ## Inheritance: Autosomal recessive ## Management: - Supportive care - Monitoring for renal complications - No specific cure; corneal transplantation may help vision - Genetic counseling for families The condition is distinct from other LCAT-related disorders like familial LCAT deficiency, which has different clinical features","Fish-eye disease, also called partial LCAT deficiency, is a disorder that causes the clear front surface of the eyes (the corneas) to gradually become cloudy. The cloudiness, which generally first appears in adolescence or early adulthood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As fish-eye disease progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",0.11607142857142858,0.2142857142857143,0.2222222222222222,0.056,0.8284705281257629,What is (are) fish-eye disease ?
0000388-2,"# Friedreich Ataxia Prevalence Friedreich ataxia (FA) is a rare genetic disorder. The estimated prevalence is: - **1 in 50,000 people** in most populations - Some estimates range from **1 in 20,000 to 1 in 100,000** depending on geographic region and ancestry ## Key Points: - It's the most common inherited ataxia in many Western countries - More prevalent in populations of European descent - Autosomal recessive inheritance pattern (requires two mutated copies) - Typically manifests in childhood or early adulthood The exact prevalence may vary by region due to differences in genetic screening practices and population genetics. These figures represent approximate estimates based on available epidemiological data.","Friedreich ataxia is estimated to affect 1 in 40,000 people. This condition is found in people with European, Middle Eastern, or North African ancestry. It is rarely identified in other ethnic groups.",0.14285714285714285,0.14285714285714285,0.17592592592592593,0.028037383177570093,0.8618212342262268,How many people are affected by Friedreich ataxia ?
0000013-16,"# Creating a Family Health History A family health history is a record of health conditions and diseases that run in your family. It documents: **Key Information:** - Diseases/conditions affecting relatives (parents, siblings, grandparents, aunts, uncles, cousins) - Age of diagnosis - Age at death (if applicable) - Cause of death **Why It Matters:** - Identifies genetic risk factors for conditions like heart disease, diabetes, cancer, and Alzheimer's - Helps doctors assess your personal risk - Guides preventive screening and early detection - Informs treatment decisions **How to Create One:** 1. Talk with family members about their health 2. Document conditions and ages of onset 3. Note ethnic background (some conditions are more common in certain groups) 4. Update periodically as new information emerges **Resources:** The CDC and NIH offer free tools to organize this information systematically. A family health history is one of the most valuable health tools you can develop for yourself and your healthcare provider.","Your relatives will probably want to know why you want information about their health. You can explain that knowing what diseases run in the family can help family members take steps to lower their risk. These steps might include certain lifestyle changes, medical tests, or choices of medicines to take. Offer to share your health history when it is done. Encourage relatives to create their own health histories. It's important to find the right time to talk about family health. Family get-togethers like holidays, vacations, and reunions might be good opportunities. Some people may prefer to share health information privately, in person or by telephone. You can also contact family members by mail or e-mail. Be sure to take notes or record the conversations with a tape recorder or video camera to help you remember.",0.11604095563139932,0.26621160409556316,0.37341772151898733,0.050955414012738856,0.8342113494873047,What is (are) Creating a Family Health History ?
0000858-5,"# RAPADILINO Syndrome Treatment RAPADILINO is a rare autosomal recessive disorder caused by mutations in the RECQL4 gene. There is **no cure**, and management is primarily supportive and symptomatic. ## Treatment Approaches: **Orthopedic Management:** - Surgical correction of limb abnormalities when indicated - Physical therapy for mobility and function **Cancer Surveillance:** - Regular screening for osteosarcoma and other malignancies (increased risk) - Early detection and treatment of cancers **Dental Care:** - Management of dental abnormalities **General Supportive Care:** - Growth monitoring and nutritional support - Management of immunodeficiency if present - Genetic counseling for affected families **Experimental:** - No established targeted therapies currently available ## Key Point: Treatment focuses on **early detection and management of complications**, particularly malignancies, rather than treating the underlying genetic defect. Multidisciplinary care involving orthopedics, oncology, and genetics is recommended. Consult a geneticist or specialist familiar with this condition for individualized management.",These resources address the diagnosis or management of RAPADILINO syndrome: - Genetic Testing Registry: Rapadilino syndrome These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.15544041450777202,0.23834196891191708,0.2534246575342466,0.05517241379310345,0.8273972272872925,What are the treatments for RAPADILINO syndrome ?
0000883-1,"# Buschke-Ollendorff Syndrome Buschke-Ollendorff syndrome (BOS) is a rare genetic disorder characterized by: ## Key Features: - **Connective tissue nevi** (small, firm nodules on skin and subcutaneous tissues) - **Osteopoikilosis** (abnormal bone density with scattered areas of increased bone density—""spotted bones"" on X-ray) - **Skin manifestations**: papules, plaques, or nodules typically on extensor surfaces ## Genetics: - Autosomal dominant inheritance - Caused by mutations in the *LEMD3* gene - Affects connective tissue development ## Clinical Significance: - Generally benign and asymptomatic - Primarily a cosmetic concern - Osteopoikilosis is usually clinically silent (no functional bone problems) - Diagnosis confirmed by characteristic radiographic findings and genetic testing ## Management: - Supportive care - Genetic counseling for affected families - Monitoring for any complications (rare) The condition is often discovered incidentally on imaging or when skin","Buschke Ollendorff syndrome (BOS) is a genetic condition of the connective tissue. Common signs and symptoms include non-cancerous skin lumps and spots of increased bone density (which can be seen on X-ray). Some people with BOS have both skin and bone symptoms, while others have one or the other. Individual cases of BOS have occurred in association with joint pain, hearing disorders (e.g., otosclerosis), congenital spinal stenosis, craniosynostosis, and nail patella syndrome. Symptoms of BOS may begin at any age, but most often present before age 20. BOS is caused by mutations in the LEMD3 gene. The mutation results in a loss of protein (also named LEMD3) that results in the excessive formation of bone tissue. It is not clear how the LEMD3 mutations cause the skin lumps or other features of BOS. BOS is inherited in an autosomal dominant fashion. Affected members of the same family can have very different symptoms.",0.14685314685314685,0.2517482517482518,0.3208955223880597,0.09022556390977443,0.8349278569221497,What is (are) Buschke Ollendorff syndrome ?
0000057-22,"# Problems with Taste Taste disorders involve difficulty detecting or perceiving flavors. Common issues include: ## Types - **Hypogeusia**: Reduced taste sensation - **Ageusia**: Complete loss of taste - **Dysgeusia**: Distorted or unpleasant taste ## Common Causes - **Infections**: Upper respiratory infections, COVID-19 - **Medications**: Antibiotics, chemotherapy, blood pressure drugs - **Aging**: Natural decline in taste buds - **Neurological**: Nerve damage, Parkinson's, Alzheimer's - **Oral conditions**: Dry mouth, gum disease, poor oral hygiene - **Head/neck injury**: Damage to taste nerves - **Nutritional deficiencies**: Zinc, B12 - **Smoking/alcohol use** ## When to Seek Care - Sudden taste loss - Persistent changes lasting >2 weeks - Accompanied by other symptoms - Affecting nutrition or quality of life ## Management Treatment depends on the underlying cause—addressing infections, adjusting medications, or treating nutritional deficiencies may help",You can help your doctor make a diagnosis by writing down important information about your problem beforehand and giving the information to your doctor during your visit. Write down answers to the following questions. - When did I first become aware of my taste problem? - What changes in my sense of taste did I notice? - Do all foods and drinks taste the same? - Have there been any changes in my sense of smell? - Does the change in taste affect my ability to eat normally? - What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? - Have I recently had a cold or the flu? When did I first become aware of my taste problem? What changes in my sense of taste did I notice? Do all foods and drinks taste the same? Have there been any changes in my sense of smell? Does the change in taste affect my ability to eat normally? What medicines do I take? What are the names of the medicines? How much do I take? What is the health condition for which I take the medicine? Have I recently had a cold or the flu?,0.11594202898550723,0.1565217391304348,0.2803030303030303,0.015267175572519083,0.7900975346565247,What is (are) Problems with Taste ?
0000770-3,"# Pantothenate Kinase-Associated Neurodegeneration (PKAN) ## Genetic Basis **Gene affected:** *PANK2* (pantothenate kinase 2) **Inheritance:** Autosomal recessive ## Key Genetic Changes - **Mutations in PANK2** disrupt the enzyme pantothenate kinase 2, which catalyzes the first step of coenzyme A (CoA) synthesis - Over 200 different mutations identified, including: - Point mutations - Insertions/deletions - Splice site mutations ## Pathophysiology - Impaired CoA production leads to: - Defective energy metabolism - Impaired acetylation reactions - Accumulation of iron in the basal ganglia (characteristic ""eye-of-the-tiger"" sign on MRI) ## Clinical Significance PKAN is the most common form of NBIA (neurodegeneration with brain iron accumulation), accounting for ~35-50% of NBIA cases. **Note:** Genetic testing confirms diagnosis;","Mutations in the PANK2 gene cause pantothenate kinase-associated neurodegeneration. The PANK2 gene provides instructions for making an enzyme called pantothenate kinase 2. This enzyme is active in mitochondria, the energy-producing centers within cells, where it plays a critical role in the formation of a molecule called coenzyme A. Found in all living cells, coenzyme A is essential for the body's production of energy from carbohydrates, fats, and some protein building blocks (amino acids). Mutations in the PANK2 gene likely result in the production of an abnormal version of pantothenate kinase 2 or prevent cells from making any of this enzyme. A lack of functional pantothenate kinase 2 disrupts the production of coenzyme A and allows potentially harmful compounds to build up in the brain. This buildup leads to swelling and tissue damage, and allows iron to accumulate abnormally in certain parts of the brain. Researchers have not determined how these changes result in the specific features of pantothenate kinase-associated neurodegeneration. Because pantothenate kinase 2 functions in mitochondria, the signs and symptoms of this condition may be related to impaired energy production.",0.1292517006802721,0.19047619047619047,0.2743362831858407,0.044642857142857144,0.8468608856201172,What are the genetic changes related to pantothenate kinase-associated neurodegeneration ?
0000181-6,"# Alagille Syndrome Symptoms Alagille syndrome is a genetic disorder affecting multiple organ systems. Common symptoms include: **Liver:** - Jaundice (yellowing of skin/eyes) - Pale stools, dark urine - Itching - Cholestasis (bile flow problems) **Cardiac:** - Heart murmurs - Pulmonary stenosis (narrowed valve) **Facial Features:** - Broad forehead - Pointed chin - Deep-set eyes - Hypertelorism (wide-set eyes) **Skeletal:** - Butterfly vertebrae - Shortened limbs - Bone abnormalities **Other:** - Growth delays - Kidney problems - Eye abnormalities (posterior embryotoxon) - Developmental delays - Intellectual disability (variable) **Onset:** Symptoms typically appear in infancy or early childhood, with jaundice often the first sign. Severity varies widely among affected individuals. Early diagnosis through genetic testing is important for management and monitoring of organ involvement.","The signs and symptoms of Alagille syndrome and their severity vary, even among people in the same family sharing the same gene mutation. Liver In some people, problems in the liver may be the first signs and symptoms of the disorder. These signs and symptoms can occur in children and adults with Alagille syndrome, and in infants as early as the first 3 months of life. Jaundice. Jaundicewhen the skin and whites of the eyes turn yellowis a result of the liver not removing bilirubin from the blood. Bilirubin is a reddish-yellow substance formed when hemoglobin breaks down. Hemoglobin is an iron-rich protein that gives blood its red color. Bilirubin is absorbed by the liver, processed, and released into bile. Blockage of the bile ducts forces bilirubin and other elements of bile to build up in the blood. Jaundice may be difficult for parents and even health care providers to detect. Many healthy newborns have mild jaundice during the first 1 to 2 weeks of life due to an immature liver. This normal type of jaundice disappears by the second or third week of life, whereas the jaundice of Alagille syndrome deepens. Newborns with jaundice after 2 weeks of life should be seen by a health care provider to check for a possible liver problem. Dark urine and gray or white stools. High levels of bilirubin in the blood that pass into the urine can make the urine darker, while stool lightens from a lack of bilirubin reaching the intestines. Gray or white bowel movements after 2 weeks of age are a reliable sign of a liver problem and should prompt a visit to a health care provider. Pruritus. The buildup of bilirubin in the blood may cause itching, also called pruritus. Pruritus usually starts after 3 months of age and can be severe. Xanthomas. Xanthomas are fatty deposits that appear as yellow bumps on the skin. They are caused by abnormally high cholesterol levels in the blood, common in people with liver disease. Xanthomas may appear anywhere on the body. However, xanthomas are usually found on the elbows, joints, tendons, knees, hands, feet, or buttocks. Other Signs and Symptoms of Alagille Syndrome Certain signs of Alagille syndrome are unique to the disorder, including those that affect the vertebrae and facial features. Face. Many children with Alagille syndrome have deep-set eyes, a straight nose, a small and pointed chin, large ears, and a prominent, wide forehead. These features are not usually recognized until after infancy. By adulthood, the chin is more prominent. Eyes. Posterior embryotoxon is a condition in which an opaque ring is present in the cornea, the transparent covering of the eyeball. The abnormality is common in people with Alagille syndrome, though it usually does not affect vision. Skeleton. The most common skeletal defect in a person with Alagille syndrome is when the shape of the vertebraebones of the spinegives the appearance of flying butterflies. This defect, known as ""butterfly"" vertebrae, rarely causes medical problems or requires treatment. Heart and blood vessels. People with Alagille syndrome may have the following signs and symptoms having to do with the heart and blood vessels: - heart murmuran extra or unusual sound heard during a heartbeat. A heart murmur is the most common sign of Alagille syndrome other than the general symptoms of liver disease.1 Most people with Alagille syndrome have a narrowing of the blood vessels that carry blood from the heart to the lungs.1 This narrowing causes a murmur that can be heard with a stethoscope. Heart murmurs usually do not cause problems. - heart walls and valve problems. A small number of people with Alagille syndrome have serious problems with the walls or valves of the heart. These conditions may need treatment with medications or corrective surgery. - blood vessel problems. People with Alagille syndrome may have abnormalities of the blood vessels in the head and neck. This serious complication can lead to internal bleeding or stroke. Alagille syndrome can also cause narrowing or bulging of other blood vessels in the body. Kidney disease. A wide range of kidney diseases can occur in Alagille syndrome. The kidneys are two bean-shaped organs, each about the size of a fist, that filter wastes and extra fluid from the blood. Some people have small kidneys or have cystsfluid-filled sacsin the kidneys. Kidney function can also decrease.",0.04952830188679246,0.09669811320754716,0.4715447154471545,0.07377049180327869,0.8126711845397949,What are the symptoms of Alagille Syndrome ?
0000794-5,"# Phosphoglycerate Kinase (PGK) Deficiency Treatment PGK deficiency is a rare glycolytic enzyme disorder with limited specific treatments. Management is primarily **supportive and symptomatic**: ## Current Approaches: - **Avoidance of triggers**: Strenuous exercise, infections, fasting, and certain medications (sulfonamides, aspirin) - **Hemolytic crisis management**: Blood transfusions as needed - **Folic acid supplementation**: To support erythropoiesis - **Hydration**: During acute episodes ## Emerging/Investigational: - **Gene therapy**: Under research but not yet standard treatment - **Enzyme replacement**: Experimental approaches being studied ## Monitoring: - Regular hemoglobin/hematocrit checks - Renal function monitoring (hemoglobinuria risk) ## Important Note: There is **no curative treatment** currently available. Management focuses on preventing complications and managing symptoms. Genetic counseling is recommended for affected families. Treatment should be individualized based on disease severity and clinical manifestations. Consultation with a hemat",These resources address the diagnosis or management of phosphoglycerate kinase deficiency: - Children Living with Inherited Metabolic Diseases (CLIMB) (UK): Phosphoglycerate Kinase Deficiency - Genetic Testing Registry: Deficiency of phosphoglycerate kinase - Genetic Testing Registry: Phosphoglycerate kinase 1 deficiency These resources from MedlinePlus offer information about the diagnosis and management of various health conditions: - Diagnostic Tests - Drug Therapy - Surgery and Rehabilitation - Genetic Counseling - Palliative Care,0.11940298507462688,0.1990049751243781,0.17557251908396945,0.015384615384615385,0.8162152767181396,What are the treatments for phosphoglycerate kinase deficiency ?
